"KMeans_Cluster","Mean_Perawat","Mean_Bidan","Mean_Tenaga_Kefarmasian","Count","Method","Silhouette_Score","HCluster","DBSCAN_Cluster","Fuzzy_Cluster"
1,321.75,502.5,44.25,4,"K-Means",0.294635313553713,NA,NA,NA
2,972,1062.5,155.75,4,"K-Means",0.294635313553713,NA,NA,NA
3,3466,1188,659,1,"K-Means",0.294635313553713,NA,NA,NA
4,667.666666666667,614.333333333333,107.833333333333,6,"K-Means",0.294635313553713,NA,NA,NA
NA,533.222222222222,541.666666666667,81.5555555555556,9,"Hierarchical",0.275000816568558,1,NA,NA
NA,1060.33333333333,1091.33333333333,168.333333333333,3,"Hierarchical",0.275000816568558,2,NA,NA
NA,600.5,898.5,104,2,"Hierarchical",0.275000816568558,3,NA,NA
NA,3466,1188,659,1,"Hierarchical",0.275000816568558,4,NA,NA
NA,1032.72727272727,829.454545454545,175.363636363636,11,"DBSCAN",NA,NA,0,NA
NA,321.75,502.5,44.25,4,"DBSCAN",NA,NA,1,NA
NA,667.666666666667,614.333333333333,107.833333333333,6,"Fuzzy C-Means",0.294635313553713,NA,NA,1
NA,972,1062.5,155.75,4,"Fuzzy C-Means",0.294635313553713,NA,NA,2
NA,3466,1188,659,1,"Fuzzy C-Means",0.294635313553713,NA,NA,3
NA,321.75,502.5,44.25,4,"Fuzzy C-Means",0.294635313553713,NA,NA,4
