"Kabupaten/Kota","KMeans_Cluster","HCluster","DBSCAN_Cluster","Fuzzy_Cluster"
"Lampung Barat",3,1,1,4
"Tanggamus",3,1,0,1
"Lampung Selatan",4,2,0,2
"Lampung Timur",4,2,0,2
"Lampung Tengah",4,2,0,2
"Lampung Utara",4,2,0,2
"Way Kanan",3,1,0,1
"Tulangbawang",3,1,1,4
"Pesawaran",3,1,0,1
"Pringsewu",2,1,0,1
"Mesuji",3,1,1,4
"Tulang Bawang Barat",3,1,1,4
"Pesisir Barat",3,1,1,4
"Kota Bandar Lampung",1,3,0,3
"Kota Metro",2,4,0,1
