"KMeans_Cluster","Mean_Perawat","Mean_Bidan","Mean_Tenaga_Kefarmasian","Count","Method","Silhouette_Score","HCluster","DBSCAN_Cluster","Fuzzy_Cluster"
1,431.444444444444,445.666666666667,30.4444444444444,9,"K-Means",0.385976559887271,NA,NA,NA
2,488,795.5,56.5,2,"K-Means",0.385976559887271,NA,NA,NA
3,2992,906,288,1,"K-Means",0.385976559887271,NA,NA,NA
4,907.666666666667,915,71.3333333333333,3,"K-Means",0.385976559887271,NA,NA,NA
NA,431.444444444444,445.666666666667,30.4444444444444,9,"Hierarchical",0.385976559887271,1,NA,NA
NA,907.666666666667,915,71.3333333333333,3,"Hierarchical",0.385976559887271,2,NA,NA
NA,488,795.5,56.5,2,"Hierarchical",0.385976559887271,3,NA,NA
NA,2992,906,288,1,"Hierarchical",0.385976559887271,4,NA,NA
NA,919.3,711.3,77.2,10,"DBSCAN",NA,NA,0,NA
NA,276.2,428,23.4,5,"DBSCAN",NA,NA,1,NA
NA,381.6,377.4,29.8,5,"Fuzzy C-Means",0.264002121973484,NA,NA,1
NA,828,904.5,70.5,4,"Fuzzy C-Means",0.264002121973484,NA,NA,2
NA,2992,906,288,1,"Fuzzy C-Means",0.264002121973484,NA,NA,3
NA,472.4,568.4,34,5,"Fuzzy C-Means",0.264002121973484,NA,NA,4
