"KMeans_Cluster","Mean_Perawat","Mean_Bidan","Mean_Tenaga_Kefarmasian","Count","Method","Silhouette_Score","HCluster","DBSCAN_Cluster","Fuzzy_Cluster"
1,3480,1255,571,1,"K-Means",0.362402089350725,NA,NA,NA
2,1108.5,527,173,2,"K-Means",0.362402089350725,NA,NA,NA
3,404.25,566.375,66.125,8,"K-Means",0.362402089350725,NA,NA,NA
4,996.75,1083.25,181.5,4,"K-Means",0.362402089350725,NA,NA,NA
NA,454.666666666667,574.444444444444,74.3333333333333,9,"Hierarchical",0.425294065095144,1,NA,NA
NA,996.75,1083.25,181.5,4,"Hierarchical",0.425294065095144,2,NA,NA
NA,3480,1255,571,1,"Hierarchical",0.425294065095144,3,NA,NA
NA,1359,415,206,1,"Hierarchical",0.425294065095144,4,NA,NA
NA,1124.2,875.2,188,10,"DBSCAN",NA,NA,0,NA
NA,335.2,484.2,58.4,5,"DBSCAN",NA,NA,1,NA
NA,755,632.8,116.6,5,"Fuzzy C-Means",0.295426611133959,NA,NA,1
NA,996.75,1083.25,181.5,4,"Fuzzy C-Means",0.295426611133959,NA,NA,2
NA,3480,1255,571,1,"Fuzzy C-Means",0.295426611133959,NA,NA,3
NA,335.2,484.2,58.4,5,"Fuzzy C-Means",0.295426611133959,NA,NA,4
